Пассив: werden/man; Passiv: werden/man
Man kauft Autos immer in Deutschland.;Die Autos werden immer in Deutschland gekauft.;;Автомобили всегда покупаются в Германии.;;
Man verspricht uns immer mehr.;Es wird uns immer mehr versprochen.;;Нам всегда обещают больше.;;
Man feiert die ganze Nacht.;Er wird die ganze Nacht gefeiert.;;Его целую ночь празднуют.;;
Man spricht ständig nur über sie.;Es wird ständig nur über sie gesprochen.;;Всегда говорят только о ней.;;
So lernt man die Sprachen schneller.;So werden die Sprachen schneller gelernt.;;Таким образом языки учатся быстрее.;;
Man liest gern dieses Buch.;Dieses Buch wird gerne gelesen.;;Эта книга читается с удовольствием.;;
Man baut hier ein neues Haus.;Hier wird ein neues Haus gebaut.;;Здесь строится новый дом.;;
Man spielt hier Fußball.;Hier wird (es) Fußball gespielt.;;Здесь играют в футбол.;;
In diesem Cafe kocht man gut.;In diesem Cafe wird (es) gut gekocht.;;В этом кафе готовят хорошо.;;
Man vergisst immer seinen Namen.;Sein Name wird immer vergessen.;;Его имя всегда забывают.;;
Man spricht hier nur Deutsch.;Hier wird (es) nur Deutsch gesprochen.;;Здесь говорят только по-немецки.;;
Dort spricht man nur Englisch.;Dort wird (es) nur Englisch gesprochen.;;Там говорят только по-английски.;;
Man soll diese Arbeit heute machen.;Diese Arbeit soll heute gemacht werden.;;Эту работу должны сделать сегодня.;;
Man muss sie heute anrufen.;Sie muss heute angerufen werden.;;Ей нужно позвонить сегодня.;;
